Month,Tourist Arrival,CCI,PMI,REERI,Class
01/01/2008,399556,98,53,109,Train
01/02/2008,411032,91,53,108,Train
01/03/2008,414332,90,53,106,Train
01/04/2008,395900,83,56,106,Train
01/05/2008,366387,80,57,106,Train
01/06/2008,352945,76,51,107,Train
01/07/2008,330000,81,50,106,Train
01/08/2008,339000,83,46,109,Train
01/09/2008,286389,90,46,111,Train
01/10/2008,296742,78,49,117,Train
01/11/2008,279904,75,43,118,Train
01/12/2008,358048,80,37,117,Train
01/01/2009,370000,81,39,118,Train
01/02/2009,342913,76,43,120,Train
01/03/2009,303489,77,47,121,Train
01/04/2009,305430,85,50,118,Train
01/05/2009,292843,89,52,115,Train
01/06/2009,279147,91,51,114,Train
01/07/2009,271422,86,51,113,Train
01/08/2009,314915,86,51,112,Train
01/09/2009,304419,94,52,112,Train
01/10/2009,227859,91,52,110,Train
01/11/2009,387871,87,53,110,Train
01/12/2009,376400,93,53,110,Train
01/01/2010,416249,94,55,110,Train
01/02/2010,446323,94,54,111,Train
01/03/2010,473509,94,53,110,Train
01/04/2010,432608,92,53,110,Train
01/05/2010,350982,94,54,112,Train
01/06/2010,375707,96,52,113,Train
01/07/2010,410000,88,50,111,Train
01/08/2010,427935,89,49,110,Train
01/09/2010,383463,88,50,109,Train
01/10/2010,440071,88,52,107,Train
01/11/2010,428295,92,53,107,Train
01/12/2010,44957,95,53,108,Train
01/01/2011,506424,94,52,106,Train
01/02/2011,529315,98,52,106,Train
01/03/2011,475733,88,54,105,Train
01/04/2011,460000,90,53,104,Train
01/05/2011,480886,94,51,104,Train
01/06/2011,446966,92,50,104,Train
01/07/2011,460000,84,49,103,Train
01/08/2011,552234,76,49,104,Train
01/09/2011,286618,80,52,106,Train
01/10/2011,518477,81,49,107,Train
01/11/2011,611864,84,51,108,Train
01/12/2011,593408,90,49,108,Train
01/01/2012,630000,95,48,108,Train
01/02/2012,681849,95,46,106,Train
01/03/2012,561877,96,50,107,Train
01/04/2012,620000,96,50,107,Train
01/05/2012,615523,99,48,108,Train
01/06/2012,417429,93,47,110,Train
01/07/2012,466000,92,44,109,Train
01/08/2012,525292,94,48,108,Train
01/09/2012,460238,98,49,107,Train
01/10/2012,495576,103,49,107,Train
01/11/2012,655701,103,51,107,Train
01/12/2012,614673,93,49,107,Train
01/01/2013,651812,94,50,115,Train
01/02/2013,570476,98,51,116,Train
01/03/2013,587366,99,51,117,Train
01/04/2013,613919,96,51,116,Train
01/05/2013,558751,105,52,116,Train
01/06/2013,567291,104,53,117,Train
01/07/2013,658325,105,49,118,Train
01/08/2013,676719,102,49,118,Train
01/09/2013,614827,98,52,117,Train
01/10/2013,628695,93,52,116,Train
01/11/2013,713034,95,50,117,Train
01/12/2013,722349,103,52,117,Train
01/01/2014,776174,101,52,123,Train
01/02/2014,842026,102,51,116,Train
01/03/2014,709725,100,51,116,Train
01/04/2014,74598,104,53,115,Train
01/05/2014,674204,102,53,115,Train
01/06/2014,539776,103,56,115,Train
01/07/2014,564736,102,52,115,Train
01/08/2014,618588,103,50,116,Train
01/09/2014,590881,105,52,117,Train
01/10/2014,559002,107,51,118,Train
01/11/2014,608617,109,52,120,Train
01/12/2014,657304,114,52,121,Train
01/01/2015,700692,118,53,118,Train
01/02/2015,756000,115,52,120,Train
01/03/2015,617895,113,51,122,Train
01/04/2015,69044,116,54,121,Train
01/05/2015,576868,111,55,120,Train
01/06/2015,529445,116,52,121,Train
01/07/2015,593566,113,53,122,Train
01/08/2015,664985,112,51,124,Train
01/09/2015,626324,107,50,125,Train
01/10/2015,649099,110,50,124,Train
01/11/2015,732740,111,49,125,Train
01/12/2015,760798,113,51,126,Train
01/01/2016,815200,112,52,126,Train
01/02/2016,843726,112,50,125,Train
01/03/2016,830608,111,51,123,Train
01/04/2016,799612,109,52,121,Train
01/05/2016,767373,115,53,123,Train
01/06/2016,710574,114,53,123,Train
01/07/2016,856438,110,52,124,Train
01/08/2016,909866,110,52,123,Train
01/09/2016,823135,111,53,124,Train
01/10/2016,822145,107,52,125,Train
01/11/2016,936779,114,54,127,Train
01/12/2016,897279,118,52,129,Train
01/01/2017,1007238,119,52,129,Train
01/02/2017,1199421,116,54,127,Train
01/03/2017,1005821,117,55,127,Train
01/04/2017,1071650,117,54,126,Train
01/05/2017,972844,117,52,125,Train
01/06/2017,949362,115,53,124,Train
01/07/2017,1036880,113,51,122,Train
01/08/2017,1229163,117,52,121,Train
01/09/2017,975952,115,53,120,Train
01/10/2017,1024899,121,52,122,Train
01/11/2017,1172568,119,51,122,Train
01/12/2017,1276353,116,53,122,Train
01/01/2018,1430242,116,53,120,Train
01/02/2018,1431845,120,54,119,Train
01/03/2018,1343314,121,52,119,Train
01/04/2018,1341913,119,53,120,Train
01/05/2018,1161114,118,54,123,Train
01/06/2018,1183102,118,56,124,Train
01/07/2018,1188817,118,55,124,Train
01/08/2018,1323546,116,54,125,Train
01/09/2018,1212597,120,52,125,Train
01/10/2018,1205157,119,54,126,Train
01/11/2018,1301909,118,57,127,Train
01/12/2018,1374235,118,54,127,Train
01/01/2019,1501766,111,52,125,Train
01/02/2019,1588161,114,51,125,Train
01/03/2019,1410187,118,52,126,Validation
01/04/2019,1468766,117,53,126,Validation
01/05/2019,1326668,120,43,126,Validation
01/06/2019,1185445,118,53,126,Validation
01/07/2019,1315792,118,53,126,Validation
01/08/2019,1512447,110,51,127,Validation
01/09/2019,1561274,113,51,128,Validation
01/10/2019,1618337,116,50,127,Validation
01/11/2019,1809580,117,51,127,Validation
01/12/2019,1710168,119,51,126,Validation
01/01/2020,1994125,120,51,127,Validation
01/02/2020,1242731,121,52,128,Validation
01/03/2020,449923,109,54,132,Validation
01/04/2020,0,92,33,133,Validation
01/05/2020,0,92,43,133,Validation
01/06/2020,0,98,51,131,Validation
01/07/2020,0,93,48,129,Validation
01/08/2020,0,94,46,128,Validation
01/09/2020,0,100,52,128,Validation
01/10/2020,0,102,51,127,Validation
01/11/2020,0,97,47,126,Validation
01/12/2020,0,101,52,123,Validation
01/01/2021,0,99,51,123,Validation
01/02/2021,0,97,52,124,Validation
01/03/2021,0,105,54,126,Validation
01/04/2021,0,108,55,125,Validation
01/05/2021,0,103,53,124,Test
01/06/2021,0,106,44,125,Test
01/07/2021,0,101,45,127,Test
01/08/2021,0,90,40,127,Test
01/09/2021,0,93,40,127,Test
01/10/2021,0,92,52,128,Test
01/11/2021,400,87,47,129,Test
01/12/2021,3100,91,46,130,Test
01/01/2022,5800,87,54,126,Test
01/02/2022,1558,83,54,126,Test
01/03/2022,15000,79,52,127,Test
01/04/2022,70000,85,52,128,Test
01/05/2022,136000,78,55,130,Test
01/06/2022,185000,70,54,131,Test
01/07/2022,320000,72,51,133,Test
01/08/2022,486407,78,53,133,Test
01/09/2022,431909,79,53,136,Test
01/10/2022,484355,80,51,137,Test
01/11/2022,596919,77,47,135,Test
01/12/2022,707071,80,46,132,Test
01/01/2023,871162,85,47,131,Test
01/02/2023,932969,87,51,132,Test
01/03/2023,895425,82,48,132,Test
01/04/2023,984146,84,47,131,Test
01/05/2023,916257,79,45,131,Test
01/06/2023,975010,84,46,131,Test