Month,Tourist Arrival,Number of Posts,Number of Comments,CCI,PMI,REERI,Class
01/01/2008,399556,403,3049,98.4,53.3,109,Train
01/02/2008,411032,357,3211,90.8,53,108,Train
01/03/2008,414332,344,3153,89.5,53.4,106,Train
01/04/2008,395900,338,3184,82.6,56.4,106,Train
01/05/2008,366387,369,2964,79.8,57.2,106,Train
01/06/2008,352945,361,2968,76.4,51.3,107,Train
01/07/2008,330000,384,2931,81.2,50,106,Train
01/08/2008,339000,468,3233,83,46.4,109,Train
01/09/2008,286389,462,3244,90.3,46.4,111,Train
01/10/2008,296742,511,3802,77.6,49.2,117,Train
01/11/2008,279904,511,3802,75.3,42.6,118,Train
01/12/2008,358048,503,3373,80.1,36.8,117,Train
01/01/2009,370000,566,4306,81.2,39.2,118,Train
01/02/2009,342913,450,3356,76.3,43.3,120,Train
01/03/2009,303489,485,3500,77.3,47,121,Train
01/04/2009,305430,473,3168,85.1,50.4,118,Train
01/05/2009,292843,517,3702,88.7,51.5,115,Train
01/06/2009,279147,505,4240,90.8,51.1,114,Train
01/07/2009,271422,538,4240,86,51.2,113,Train
01/08/2009,314915,655,4527,85.7,51.3,112,Train
01/09/2009,304419,647,4542,93.5,52,112,Train
01/10/2009,227859,692,4825,90.6,52.3,110,Train
01/11/2009,387871,715,5323,87.4,53.2,110,Train
01/12/2009,376400,704,4723,92.5,53.2,110,Train
01/01/2010,416249,571,3872,94.4,54.6,110,Train
01/02/2010,446323,491,3627,93.6,53.8,111,Train
01/03/2010,473509,488,3595,93.6,53.2,110,Train
01/04/2010,432608,480,3213,92.2,53.1,110,Train
01/05/2010,350982,524,3755,93.6,53.7,112,Train
01/06/2010,375707,513,4300,96,51.9,113,Train
01/07/2010,410000,545,3621,87.8,50.1,111,Train
01/08/2010,427935,665,4591,88.9,49.2,110,Train
01/09/2010,383463,656,4607,88.2,49.7,109,Train
01/10/2010,440071,701,4894,87.7,51.8,107,Train
01/11/2010,428295,726,5400,91.6,52.7,107,Train
01/12/2010,44957,714,4790,94.5,53.2,108,Train
01/01/2011,506424,666,4745,94.2,51.9,106,Train
01/02/2011,529315,571,4214,97.5,51.9,106,Train
01/03/2011,475733,568,4177,87.5,53.9,105,Train
01/04/2011,460000,558,3733,89.8,53,104,Train
01/05/2011,480886,609,4363,94.3,50.5,104,Train
01/06/2011,446966,596,4997,91.5,49.5,104,Train
01/07/2011,460000,634,4207,83.7,49,103,Train
01/08/2011,552234,772,5335,75.8,49.4,104,Train
01/09/2011,286618,762,5353,79.5,51.5,106,Train
01/10/2011,518477,815,5687,80.8,48.7,107,Train
01/11/2011,611864,843,6274,83.7,50.5,108,Train
01/12/2011,593408,830,5566,89.9,49.3,108,Train
01/01/2012,630000,785,5785,95,48,108,Train
01/02/2012,681849,696,5082,95.3,46,106,Train
01/03/2012,561877,671,4936,96.2,50,107,Train
01/04/2012,620000,659,4412,96.4,49.5,107,Train
01/05/2012,615523,720,5157,99.3,48.3,108,Train
01/06/2012,417429,704,5905,93.2,46.6,110,Train
01/07/2012,466000,749,4972,92.3,43.6,109,Train
01/08/2012,525292,913,6305,94.3,47.9,108,Train
01/09/2012,460238,901,6326,98.3,49.2,107,Train
01/10/2012,495576,963,6721,102.6,48.7,107,Train
01/11/2012,655701,996,7415,102.7,50.5,107,Train
01/12/2012,614673,981,6578,92.9,49.3,107,Train
01/01/2013,651812,801,5531,93.8,50.1,115,Train
01/02/2013,570476,689,5082,97.6,51.2,116,Train
01/03/2013,587366,685,5038,98.6,50.8,117,Train
01/04/2013,613919,673,4503,96.4,51,116,Train
01/05/2013,558751,734,5263,104.5,51.6,116,Train
01/06/2013,567291,718,6026,104.1,52.5,117,Train
01/07/2013,658325,764,5074,105.1,48.5,118,Train
01/08/2013,676719,931,6434,102.1,49.4,118,Train
01/09/2013,614827,919,6456,97.5,51.5,117,Train
01/10/2013,628695,983,6858,93.2,51.5,116,Train
01/11/2013,713034,1017,7567,95.1,50.3,117,Train
01/12/2013,722349,1001,6713,102.5,51.8,117,Train
01/01/2014,776174,729,4984,101.2,52.1,123,Train
01/02/2014,842026,626,4623,101.6,51,116,Train
01/03/2014,709725,623,4582,100,51.3,116,Train
01/04/2014,74598,612,4095,104.1,53.1,115,Train
01/05/2014,674204,668,4787,101.9,52.5,115,Train
01/06/2014,539776,653,5481,102.5,56.3,115,Train
01/07/2014,564736,695,4615,101.8,51.7,115,Train
01/08/2014,618588,847,5852,102.5,50.3,116,Train
01/09/2014,590881,836,5872,104.6,51.7,117,Train
01/10/2014,559002,894,6238,106.9,51,118,Train
01/11/2014,608617,925,6883,108.8,52.1,120,Train
01/12/2014,657304,910,6106,113.6,51.5,121,Train
01/01/2015,700692,809,5856,118.1,52.7,118,Train
01/02/2015,756000,671,4955,115.4,51.7,120,Train
01/03/2015,617895,667,4911,113,50.7,122,Train
01/04/2015,69044,656,4390,115.9,53.5,121,Train
01/05/2015,576868,716,5130,110.7,54.8,120,Train
01/06/2015,529445,700,5875,116.1,52.2,121,Train
01/07/2015,593566,745,4947,113.1,52.6,122,Train
01/08/2015,664985,908,6273,111.9,51.3,124,Train
01/09/2015,626324,896,6293,107.2,49.5,125,Train
01/10/2015,649099,958,6686,110,50.1,124,Train
01/11/2015,732740,991,7377,111.3,49.4,125,Train
01/12/2015,760798,976,6544,112.6,51.3,126,Train
01/01/2016,815200,851,5733,112,51.5,126,Train
01/02/2016,843726,757,5525,111.7,50.3,125,Train
01/03/2016,830608,729,5367,111,50.7,123,Train
01/04/2016,799612,717,5446,109,52.3,121,Train
01/05/2016,767373,782,5860,114.7,52.7,123,Train
01/06/2016,710574,765,5903,113.5,52.6,123,Train
01/07/2016,856438,814,5744,110,51.9,124,Train
01/08/2016,909866,992,7329,109.8,52.2,123,Train
01/09/2016,823135,979,6876,111.2,52.9,124,Train
01/10/2016,822145,1047,7298,107.2,51.7,125,Train
01/11/2016,936779,1083,8063,113.8,54,127,Train
01/12/2016,897279,1066,8183,118.2,52.4,129,Train
01/01/2017,1007238,924,6113,118.5,51.9,129,Train
01/02/2017,1199421,1010,7457,116.3,54.2,127,Train
01/03/2017,1005821,1004,7382,116.9,54.6,127,Train
01/04/2017,1071650,987,6607,117,54.1,126,Train
01/05/2017,972844,1077,7726,117.1,51.6,125,Train
01/06/2017,949362,1054,8835,115,52.5,124,Train
01/07/2017,1036880,1121,7441,113.4,51.2,122,Train
01/08/2017,1229163,1367,9446,116.8,51.8,121,Train
01/09/2017,975952,1349,9471,115.1,53.3,120,Train
01/10/2017,1024899,1442,10052,120.7,51.6,122,Train
01/11/2017,1172568,1492,11106,118.5,51.4,122,Train
01/12/2017,1276353,1469,9840,115.9,52.5,122,Train
01/01/2018,1430242,1098,7872,115.7,53.4,120,Train
01/02/2018,1431845,941,6947,119.7,53.5,119,Train
01/03/2018,1343314,936,6877,121.4,51.6,119,Train
01/04/2018,1341913,919,6154,118.8,52.7,120,Train
01/05/2018,1161114,1004,7197,118,53.9,123,Train
01/06/2018,1183102,982,8229,118.2,55.7,124,Train
01/07/2018,1188817,1044,6931,117.9,54.9,124,Train
01/08/2018,1323546,1273,8856,116.2,53.7,125,Train
01/09/2018,1212597,1257,8884,120.1,51.5,125,Train
01/10/2018,1205157,1344,9419,118.6,53.9,126,Train
01/11/2018,1301909,1390,10420,117.5,56.5,127,Train
01/12/2018,1374235,1258,8518,118.3,53.8,127,Train
01/01/2019,1501766,1009,7336,111.2,51.9,125,Train
01/02/2019,1588161,865,6420,113.8,51.2,125,Train
01/03/2019,1410187,860,6363,118.4,51.9,126,Validation
01/04/2019,1468766,845,5705,117.2,52.5,126,Validation
01/05/2019,1326668,923,6685,120,42.7,126,Validation
01/06/2019,1185445,903,7605,118.2,52.5,126,Validation
01/07/2019,1315792,960,6430,118.4,52.6,126,Validation
01/08/2019,1512447,1170,8140,109.8,51.4,127,Validation
01/09/2019,1561274,1155,8165,113.2,50.5,128,Validation
01/10/2019,1618337,1235,8658,115.5,50,127,Validation
01/11/2019,1809580,1278,9578,116.8,51,127,Validation
01/12/2019,1710168,1258,8518,119.3,50.8,126,Validation
01/01/2020,1994125,928,6513,119.8,50.6,127,Validation
01/02/2020,1242731,638,4565,121,51.6,128,Validation
01/03/2020,449923,383,3337,109.1,53.6,132,Validation
01/04/2020,0,74,542,91.8,32.7,133,Validation
01/05/2020,0,92,710,92.3,42.7,133,Validation
01/06/2020,0,64,504,98.1,51.1,131,Validation
01/07/2020,0,48,347,92.5,47.6,129,Validation
01/08/2020,0,40,271,94.1,45.7,128,Validation
01/09/2020,0,49,314,100.4,52.2,128,Validation
01/10/2020,0,29,221,101.8,50.6,127,Validation
01/11/2020,0,43,329,96.9,47.4,126,Validation
01/12/2020,0,26,205,100.7,51.7,123,Validation
01/01/2021,0,39,290,99,51.3,123,Validation
01/02/2021,0,20,174,96.8,51.6,124,Validation
01/03/2021,0,31,249,104.9,53.6,126,Validation
01/04/2021,0,20,148,108.3,54.7,125,Validation
01/05/2021,0,15,88,102.9,53.1,124,Test
01/06/2021,0,18,83,105.5,44.1,125,Test
01/07/2021,0,9,89,101.2,45.1,127,Test
01/08/2021,0,8,51,90.3,40.2,127,Test
01/09/2021,0,12,94,92.8,40.2,127,Test
01/10/2021,0,11,110,91.7,52.1,128,Test
01/11/2021,400,10,64,87.4,47.4,129,Test
01/12/2021,3100,10,66,90.6,46.4,130,Test
01/01/2022,5800,30,190,87.2,53.7,126,Test
01/02/2022,1558,44,347,82.8,54.3,126,Test
01/03/2022,15000,103,731,79.4,51.7,127,Test
01/04/2022,70000,185,1470,85.2,51.7,128,Test
01/05/2022,136000,249,1794,78.4,54.7,130,Test
01/06/2022,185000,223,1511,70,54,131,Test
01/07/2022,320000,282,1963,71.5,51.2,133,Test
01/08/2022,486407,336,2266,78.2,52.7,133,Test
01/09/2022,431909,330,2323,78.6,52.5,136,Test
01/10/2022,484355,438,3154,79.9,50.6,137,Test
01/11/2022,596919,457,3385,76.8,47.4,135,Test
01/12/2022,707071,410,2877,79.7,46.4,132,Test
01/01/2023,871162,499,3687,84.9,47.4,131,Test
01/02/2023,932969,481,3576,87,51.2,132,Test
01/03/2023,895425,543,4058,82,47.7,132,Test
01/04/2023,984146,422,3135,83.5,46.7,131,Test
01/05/2023,916257,347,2609,79.2,45.3,131,Test
01/06/2023,975010,328,2339,84.4,46.2,131,Test